EntrezGeneID,Length,SYMBOL,GENENAME,luminal.pregnant,luminal.lactation,FDR,AveExpr,P value,MCL1-LA,MCL1-LB,MCL1-LC,MCL1-LD,MCL1-LE,MCL1-LF,MCL1-DG,MCL1-DH,MCL1-DI,MCL1-DJ,MCL1-DK,MCL1-DL,MCL1-LA CPM,MCL1-LB CPM,MCL1-LC CPM,MCL1-LD CPM,MCL1-LE CPM,MCL1-LF CPM,MCL1-DG CPM,MCL1-DH CPM,MCL1-DI CPM,MCL1-DJ CPM,MCL1-DK CPM,MCL1-DL CPM
53871,2666,Pkd2l2,polycystic kidney disease 2-like 2,0,-2.36786909532994,0.000220895519986871,3.33517090642624,0.00000560792923915307,315,316,235,173,25,23,364,312,448,442,599,529,15.447,14.557,10.566,7.868,1.011,0.933,15.671,14.326,18.589,19.501,27.823,26.430
100502856,1065,NA,NA,0,2.14691440162062,0.00022262453984848,-2.42422594189217,0.0000056793777218341,5,3,32,27,91,74,0,0,0,0,2,1,0.245,0.138,1.439,1.228,3.681,3.001,0.000,0.000,0.000,0.000,0.093,0.050
71750,4530,R3hdm2,R3H domain containing 2,0,-1.03291213976673,0.00022262453984848,6.7482218563726,0.00000568726256876764,2912,3143,3324,2815,1027,844,2716,2609,3015,2945,2863,2792,142.800,144.784,149.450,128.023,41.539,34.229,116.930,119.800,125.100,129.934,132.981,139.493
12974,2828,Cs,citrate synthase,0,1.11420857385151,0.00022262453984848,7.82379104369468,0.00000567192172521486,4313,4534,7217,5972,8585,9131,4247,3227,5288,4504,3929,3389,211.503,208.862,324.482,271.600,347.236,370.316,182.843,148.178,219.412,198.717,182.495,169.320
107702,2015,Rnh1,ribonuclease/angiogenin inhibitor 1,0,-1.29597078403061,0.00022262453984848,7.1242527057497,0.00000568659590804094,5612,6405,4105,3854,1084,938,3335,3229,3610,3754,3498,2888,275.204,295.050,184.564,175.276,43.844,38.041,143.579,148.270,149.788,165.627,162.476,144.289
76987,3668,Hdhd2,haloacid dehalogenase-like hydrolase domain containing 2,0,1.24412206579465,0.000223780208309446,3.73112234783738,0.00000573879852796953,368,369,238,251,332,390,302,254,294,287,257,265,18.046,16.998,10.701,11.415,13.428,15.817,13.002,11.663,12.199,12.662,11.937,13.240
109934,5801,Abr,active BCR-related gene,0,2.06284745982578,0.000224345559779519,5.72991479419219,0.00000576980559571299,865,879,896,574,1623,2163,1450,1330,1450,1349,1293,1166,42.418,40.492,40.285,26.105,65.645,87.723,62.426,61.071,60.164,59.518,60.058,58.255
24064,2087,Spry2,sprouty RTK signaling antagonist 2,0,-1.89858182186407,0.000224345559779519,6.41824667412499,0.00000576371832942148,3271,4073,2534,2273,396,405,1716,1967,4827,3512,1872,1817,160.405,187.625,113.931,103.373,16.017,16.425,73.877,90.321,200.284,154.950,86.951,90.780
68524,7589,Wipf2,"WAS/WASL interacting protein family, member 2",0,-1.23855925201708,0.00022722625600985,5.20074020646369,0.00000588569425773335,1244,1379,1015,982,261,265,1121,1162,1153,891,820,735,61.004,63.525,45.635,44.660,10.557,10.747,48.261,53.357,47.841,39.311,38.088,36.722
97863,1381,Fam8a1,"family with sequence similarity 8, member A1",0,1.47202940330001,0.00022722625600985,4.27926978892069,0.0000058816632231637,433,492,504,530,866,918,280,310,313,330,298,368,21.234,22.664,22.660,24.104,35.027,37.230,12.055,14.235,12.987,14.560,13.842,18.386
77032,1587,Tstd3,thiosulfate sulfurtransferase (rhodanese)-like domain containing 3,0,2.39362762233394,0.00022722625600985,0.20497777063118,0.00000587135281579049,19,15,7,6,25,20,15,12,64,62,125,114,0.932,0.691,0.315,0.273,1.011,0.811,0.646,0.551,2.656,2.735,5.806,5.696
54397,1701,Ppt2,palmitoyl-protein thioesterase 2,0,1.36039731707673,0.000230730839009239,3.5312963389039,0.00000599344980832713,280,289,270,191,384,347,294,262,182,191,242,243,13.731,13.313,12.139,8.686,15.532,14.073,12.657,12.031,7.552,8.427,11.240,12.141
68775,1597,Atp6v1c2,"ATPase, H+ transporting, lysosomal V1 subunit C2",0,-2.74640658955573,0.000232610839569058,4.24645055540892,0.00000606796001524934,630,920,3607,4212,368,354,200,218,477,272,67,77,30.894,42.380,162.174,191.557,14.884,14.357,8.610,10.010,19.792,12.001,3.112,3.847
74841,4685,Usp38,ubiquitin specific peptidase 38,0,1.61349373451417,0.000233586075862147,6.96407050518877,0.00000610882027721368,1623,1996,5068,4963,11098,8227,2047,2069,1842,1517,1633,1564,79.590,91.947,227.861,225.712,448.879,333.654,88.128,95.005,76.429,66.930,75.850,78.140
209225,4803,Zfp710,zinc finger protein 710,0,1.34175087909494,0.000234869381195509,4.16559579512516,0.00000616144334936525,635,736,437,405,616,716,435,320,248,212,242,267,31.139,33.904,19.648,18.419,24.915,29.038,18.728,14.694,10.290,9.353,11.240,13.340
29816,4392,Hip1r,huntingtin interacting protein 1 related,0,-1.15634671206361,0.000237307163560758,6.06656547532135,0.00000625447362438698,3884,4642,3481,2953,918,874,1631,1235,973,914,690,699,190.466,213.837,156.508,134.299,37.130,35.446,70.218,56.709,40.372,40.326,32.049,34.923
207278,4411,Fchsd2,FCH and double SH3 domains 2,0,1.67488562660273,0.000237307163560758,5.06300718895726,0.00000626031996295166,787,747,822,991,1685,1903,614,594,575,408,486,475,38.593,34.411,36.958,45.070,68.153,77.178,26.434,27.275,23.858,18.001,22.574,23.732
235633,5224,Als2cl,ALS2 C-terminal like,0,-2.21647850220556,0.000237307163560758,4.25811960869284,0.00000625255838555988,2173,2126,1322,1556,172,213,362,354,245,185,119,154,106.561,97.936,59.438,70.765,6.957,8.638,15.585,16.255,10.166,8.162,5.527,7.694
118445,2652,Klf16,Kruppel-like factor 16,0,-1.79877606810733,0.000237580623649425,5.77691910164245,0.00000628086754454028,1717,1779,1157,1103,220,185,3316,2742,2376,1707,1450,1357,84.199,81.951,52.020,50.163,8.898,7.503,142.761,125.908,98.586,75.313,67.350,67.798
338372,11896,Map3k9,mitogen-activated protein kinase kinase kinase 9,0,-1.12388747127734,0.000240911347331878,3.47174540859951,0.00000638199234993752,607,677,855,878,251,243,165,133,163,120,77,85,29.766,31.186,38.441,39.930,10.152,9.855,7.104,6.107,6.763,5.294,3.577,4.247
76355,2265,Tgds,"TDP-glucose 4,6-dehydratase",0,1.88867509907697,0.000241271719395496,2.62433738512805,0.00000640929325595305,150,164,100,86,204,226,176,151,105,95,111,158,7.356,7.555,4.496,3.911,8.251,9.166,7.577,6.934,4.357,4.191,5.156,7.894
22601,4171,Yap1,yes-associated protein 1,0,-1.05012120049273,0.000244216936846598,7.71829672267942,0.00000651448836284572,2981,3212,3652,3327,1053,1043,8902,8951,14053,12566,9085,7306,146.184,147.963,164.197,151.308,42.590,42.300,383.250,411.013,583.094,554.414,421.982,365.019
59003,2128,Maea,macrophage erythroblast attacher,0,-1.04545720863055,0.00024689340509904,6.9146844256079,0.00000660405112428722,2508,2660,2414,2472,753,720,3834,3596,5030,5297,4422,4252,122.989,122.535,108.535,112.424,30.456,29.200,165.062,165.122,208.707,233.705,205.394,212.437
69398,2375,Cdhr4,cadherin-related family member 4,0,-2.81578496606387,0.000250443828015172,0.258225592871774,0.00000670823454855017,29,17,210,195,19,16,10,15,26,20,16,13,1.422,0.783,9.442,8.868,0.768,0.649,0.431,0.689,1.079,0.882,0.743,0.650
238317,7373,Mideas,mitotic deacetylase associated SANT domain protein,0,1.16520906285651,0.000250657106113394,7.16912483630404,0.0000067361783621742,2661,2578,3033,2950,4381,3982,3653,4087,3857,3572,2514,2237,130.492,118.757,136.366,134.163,177.197,161.494,157.270,187.667,160.036,157.597,116.771,111.764
74123,4025,Foxp4,forkhead box P4,0,-1.17313260360876,0.000250657106113394,6.60752035418031,0.00000674340530220155,3299,4016,2453,2506,681,687,3041,2630,3547,2782,2000,1925,161.778,185.000,110.289,113.970,27.544,27.862,130.922,120.765,147.174,122.742,92.897,96.176
13842,4713,Epha8,Eph receptor A8,0,3.36779030123804,0.000250657106113394,-1.00068266559515,0.0000067692820150569,9,8,14,15,113,81,4,3,9,4,7,4,0.441,0.369,0.629,0.682,4.570,3.285,0.172,0.138,0.373,0.176,0.325,0.200
74277,1115,Chic2,cysteine-rich hydrophobic domain 2,0,-1.22815444113675,0.000250657106113394,4.51554101213682,0.00000676757490751229,679,791,1063,885,285,233,554,554,584,474,333,335,33.297,36.438,47.793,40.249,11.527,9.450,23.851,25.439,24.232,20.913,15.467,16.737
77697,2987,Mmab,methylmalonic aciduria (cobalamin deficiency) cblB type homolog (human),0,1.54065025435184,0.000250657106113394,3.02419956609962,0.00000675274690158823,154,131,139,101,213,219,167,151,200,159,341,353,7.552,6.035,6.250,4.593,8.615,8.882,7.190,6.934,8.298,7.015,15.839,17.636
209760,4493,Tmc7,transmembrane channel-like gene family 7,0,-1.96939366978658,0.000250657106113394,1.11381561515894,0.00000676641435669298,247,257,221,176,37,26,28,30,22,22,10,14,12.113,11.839,9.936,8.004,1.497,1.054,1.205,1.378,0.913,0.971,0.464,0.699
74055,9514,Plce1,"phospholipase C, epsilon 1",0,1.36538235327566,0.000251070226440365,5.89751761686419,0.00000680815176741415,1470,1296,793,645,1078,1225,3398,2962,1644,1384,993,1076,72.087,59.701,35.654,29.334,43.602,49.681,146.291,136.009,68.214,61.062,46.123,53.759
14077,640,Fabp3,"fatty acid binding protein 3, muscle and heart",0,1.73110844449419,0.000251070226440365,5.43630090683926,0.00000680624598428215,68,90,16302,20037,35474,39296,44,42,832,549,510,547,3.335,4.146,732.951,911.260,1434.810,1593.687,1.894,1.929,34.522,24.222,23.689,27.329
20209,610,Saa2,serum amyloid A 2,0,3.20788174514903,0.000251070226440365,3.67461761383315,0.00000679081877818808,120,240,1493,2273,10850,10302,5,35,119,81,140,100,5.885,11.056,67.126,103.373,438.848,417.807,0.215,1.607,4.938,3.574,6.503,4.996
17252,1574,Rdh11,retinol dehydrogenase 11,0,1.41024389623552,0.000251361821761313,5.10575477842437,0.00000683809043569552,509,520,420,385,739,600,920,859,1551,1262,1331,1108,24.961,23.954,18.884,17.509,29.890,24.334,39.608,39.444,64.355,55.680,61.823,55.357
68597,5646,Ccdc167,coiled-coil domain containing 167,0,1.08869559551303,0.000251728295280561,3.69039084263675,0.00000688156751144108,339,323,230,194,270,291,341,284,315,315,296,302,16.624,14.879,10.341,8.823,10.921,11.802,14.681,13.041,13.070,13.898,13.749,15.088
22029,2325,Traf1,TNF receptor-associated factor 1,0,3.76556933339027,0.000251728295280561,2.07171600641585,0.00000686831896896479,163,235,21,37,232,243,120,134,30,42,108,119,7.993,10.825,0.944,1.683,9.384,9.855,5.166,6.153,1.245,1.853,5.016,5.945
66085,1507,Eif3f,"eukaryotic translation initiation factor 3, subunit F",0,-1.10228963895802,0.000251728295280561,7.49999883652789,0.00000687874543073034,5945,6383,6324,5372,1779,1607,4508,5061,4898,4244,3309,3358,291.534,294.037,284.332,244.312,71.955,65.173,194.079,232.392,203.230,187.246,153.697,167.771
216859,2482,Acap1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",0,2.76280901101179,0.000253104534697095,-0.547788779098248,0.00000695644017140918,23,31,6,7,27,31,18,17,22,15,8,5,1.128,1.428,0.270,0.318,1.092,1.257,0.775,0.781,0.913,0.662,0.372,0.250
216858,2722,Kctd11,potassium channel tetramerisation domain containing 11,0,-3.09667080364929,0.000253230227138064,5.84714714201754,0.00000696930190550485,2699,3034,988,1171,85,71,6193,4994,2538,2493,1525,1201,132.355,139.763,44.421,53.256,3.438,2.879,266.622,229.315,105.308,109.992,70.834,60.004
110208,2224,Pgd,phosphogluconate dehydrogenase,0,1.03729152974157,0.000253230227138064,6.77384991296438,0.0000069785290160201,2781,3364,5943,5427,6811,7736,1640,1267,1311,1121,992,959,136.376,154.965,267.202,246.814,275.483,313.741,70.606,58.178,54.397,49.459,46.077,47.913
12977,4422,Csf1,colony stimulating factor 1 (macrophage),0,-3.57396213182477,0.000253490992030971,7.47711364906416,0.00000700022462617056,2668,2258,7862,10604,486,467,7414,10574,19712,17860,2540,2006,130.835,104.016,353.482,482.258,19.657,18.940,319.189,485.538,817.899,787.986,117.979,100.223
67843,2843,Slc35a4,"solute carrier family 35, member A4",0,1.01202248776709,0.000255119757743013,5.5888378565346,0.00000706814737777286,1340,1489,1415,1064,1521,1566,1097,992,967,773,637,651,65.712,68.592,63.620,48.390,61.520,63.511,47.228,45.551,40.123,34.105,29.588,32.525
27402,2526,Pdhx,"pyruvate dehydrogenase complex, component X",0,1.60399009934409,0.000256419538016117,4.31841279352844,0.00000711359254071719,476,436,559,374,845,895,368,335,448,349,298,327,23.342,20.085,25.133,17.009,34.178,36.298,15.843,15.383,18.589,15.398,13.842,16.337
19116,13415,Prlr,prolactin receptor,0,1.50755011442736,0.000260305661136019,4.98082855412545,0.00000725438859684681,31406,30328,2198,2242,3837,4023,371,240,78,46,33,19,1540.105,1397.079,98.824,101.964,155.194,163.157,15.972,11.020,3.236,2.030,1.533,0.949
16668,1400,Krt18,keratin 18,0,-1.78498414440087,0.000260305661136019,8.37285106743624,0.00000726473607645541,63042,67268,33512,40594,7678,5779,3570,3191,2237,2035,1475,1411,3091.489,3098.744,1506.726,1846.169,310.551,234.373,153.696,146.525,92.819,89.785,68.511,70.496
21835,1038,Thrsp,thyroid hormone responsive,0,2.52485282992586,0.000260305661136019,4.53940026665395,0.00000726928867148308,49,117,8206,6429,22869,29667,11,15,498,234,276,327,2.403,5.390,368.948,292.384,924.978,1203.173,0.474,0.689,20.663,10.324,12.820,16.337
244668,6365,Sipa1l2,signal-induced proliferation-associated 1 like 2,0,-1.28474625699228,0.000260305661136019,4.36400454370148,0.00000726235106263057,639,738,999,776,225,225,433,473,380,330,451,420,31.336,33.996,44.916,35.292,9.101,9.125,18.642,21.719,15.767,14.560,20.948,20.984
19664,5710,Rbpj,recombination signal binding protein for immunoglobulin kappa J region,0,-1.22601056145127,0.000261193252975266,4.0029111193744,0.0000073036856492587,341,348,279,283,69,80,714,696,935,845,496,439,16.722,16.031,12.544,12.871,2.791,3.244,30.739,31.959,38.795,37.282,23.038,21.933
71955,2342,Ist1,increased sodium tolerance 1 homolog (yeast),0,-1.05695578777983,0.000262344955744523,7.27119034959625,0.00000735519541842329,4915,5576,5390,5538,1730,1544,3735,3904,3838,3279,2829,2552,241.025,256.862,242.339,251.862,69.973,62.618,160.800,179.264,159.248,144.670,131.402,127.502
217082,5665,Hlf,hepatic leukemia factor,0,1.63358613470479,0.000267087592786059,5.07389825529039,0.00000750781562561348,499,558,1584,1751,2994,3452,148,201,865,626,542,475,24.470,25.705,71.218,79.633,121.098,139.999,6.372,9.230,35.891,27.619,25.175,23.732
68159,1188,Stx19,syntaxin 19,0,1.24377712560688,0.000267635314958951,0.736696420810165,0.00000753305919804251,20,28,266,255,382,386,11,4,12,8,16,13,0.981,1.290,11.960,11.597,15.451,15.655,0.474,0.184,0.498,0.353,0.743,0.650
74407,2818,Odad4,outer dynein arm complex subunit 4,0,2.0268102719639,0.000267951339927284,1.16804576202143,0.00000757153055904021,48,38,154,177,412,424,21,10,19,25,11,22,2.354,1.750,6.924,8.050,16.664,17.196,0.904,0.459,0.788,1.103,0.511,1.099
74205,3950,Acsl3,acyl-CoA synthetase long-chain family member 3,0,-1.28437771019156,0.000268864744309462,6.4101272643844,0.00000765038512951799,3860,3254,2762,2568,684,677,3296,3153,2278,1930,1154,1030,189.289,149.898,124.182,116.790,27.666,27.456,141.900,144.780,94.520,85.152,53.601,51.460
70456,854,Mpc2,mitochondrial pyruvate carrier 2,0,1.42225006797839,0.000268864744309462,5.57646034758856,0.00000765662070878668,912,950,1565,1974,2899,2958,650,606,743,715,696,651,44.723,43.762,70.364,89.775,117.255,119.965,27.984,27.826,30.829,31.546,32.328,32.525
100862207,759,NA,NA,0,4.6571682479309,0.000268864744309462,-3.43929575169025,0.0000076566949518203,0,0,0,0,9,6,3,1,5,8,2,2,0.000,0.000,0.000,0.000,0.364,0.243,0.129,0.046,0.207,0.353,0.093,0.100
74102,4200,Slc35a5,"solute carrier family 35, member A5",0,1.54619145808846,0.000269388270747261,3.12564292002274,0.0000076815155020099,213,228,119,149,254,229,211,208,168,158,217,235,10.445,10.503,5.350,6.776,10.273,9.287,9.084,9.551,6.971,6.971,10.079,11.741
68778,2910,Gucd1,guanylyl cyclase domain containing 1,0,1.49851477381439,0.00026995823352444,3.63269609428625,0.00000772756560881614,508,513,185,192,303,362,222,167,263,244,317,266,24.912,23.632,8.318,8.732,12.255,14.681,9.558,7.668,10.913,10.765,14.724,13.290
217648,1463,Gm527,predicted gene 527,0,-1.54426401725458,0.00026995823352444,2.18376579118653,0.00000770849008837908,247,237,154,134,27,34,140,128,74,77,106,94,12.113,10.918,6.924,6.094,1.092,1.379,6.027,5.878,3.070,3.397,4.924,4.696
83814,8626,Nedd4l,"neural precursor cell expressed, developmentally down-regulated gene 4-like",0,-1.33836676621832,0.00026995823352444,6.13124581751313,0.0000077264049881135,4263,5097,3001,3276,832,715,889,877,1345,1319,1179,1062,209.051,234.797,134.927,148.989,33.652,28.998,38.273,40.270,55.807,58.195,54.763,53.059
228026,5137,Pdk1,"pyruvate dehydrogenase kinase, isoenzyme 1",0,1.2576736127587,0.00027002997479516,4.8202175573465,0.00000774144422692997,748,696,598,623,860,958,509,477,571,550,641,515,36.681,32.062,26.887,28.333,34.784,38.853,21.914,21.903,23.692,24.266,29.773,25.730
56338,2801,Txnip,thioredoxin interacting protein,0,1.42596000185012,0.00027002997479516,9.17122497066594,0.00000775942493524487,15565,14727,22167,21986,32434,42056,6536,6058,8166,7860,7029,7779,763.285,678.409,996.646,999.898,1311.852,1705.621,281.389,278.172,338.827,346.785,326.485,388.651
67111,2424,Naaa,N-acylethanolamine acid amidase,0,2.54340037069879,0.00027002997479516,3.2902684529362,0.00000775479569902088,179,192,116,83,310,416,196,162,134,139,773,599,8.778,8.845,5.215,3.775,12.539,16.871,8.438,7.439,5.560,6.133,35.905,29.927
105445,8881,Dock9,dedicator of cytokinesis 9,0,-1.79943046048997,0.000270821067571135,6.34050452865972,0.00000783029657533515,4050,3914,2462,2451,462,417,2391,2934,1823,1848,1719,1676,198.606,180.301,110.693,111.469,18.686,16.912,102.938,134.724,75.641,81.534,79.845,83.736
228543,1657,Rhov,ras homolog family member V,0,-1.33550744771079,0.000270821067571135,3.13575532092052,0.0000078319790687999,5073,4992,1175,1114,308,258,156,117,74,45,4,4,248.773,229.960,52.829,50.663,12.458,10.463,6.716,5.372,3.070,1.985,0.186,0.200
68033,761,Cox19,cytochrome c oxidase assembly protein 19,0,1.25712546147921,0.000270821067571135,3.55295993268244,0.00000782160569520976,269,257,226,246,326,376,266,252,255,257,238,213,13.191,11.839,10.161,11.188,13.186,15.249,11.452,11.571,10.581,11.339,11.055,10.642
14391,2809,Gabpb1,"GA repeat binding protein, beta 1",0,-1.11606885913268,0.000270912878418729,5.38378888962644,0.00000789583143647033,1199,1357,1219,1033,345,301,1316,1302,1623,1469,782,644,58.797,62.511,54.807,46.980,13.954,12.207,56.657,59.785,67.342,64.813,36.323,32.175
20447,3885,St6galnac3,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",0,3.13505119949433,0.000270912878418729,0.29583799170586,0.00000791437600590421,8,16,22,29,156,125,37,45,13,18,17,13,0.392,0.737,0.989,1.319,6.310,5.069,1.593,2.066,0.539,0.794,0.790,0.650
20866,3609,Stim1,stromal interaction molecule 1,0,1.52240520652235,0.000270912878418729,5.88176638344211,0.00000786413518521565,1174,1373,254,271,470,467,3952,4166,2952,3033,2779,2761,57.571,63.248,11.420,12.325,19.010,18.940,170.142,191.295,122.486,133.816,129.080,137.944
56454,3527,Aldh18a1,"aldehyde dehydrogenase 18 family, member A1",0,1.56749553942763,0.000272420561468142,6.25256098093923,0.00000798849065418556,993,1029,2375,1677,3463,3930,1561,1135,2229,1841,1265,1186,48.695,47.402,106.782,76.268,140.067,159.385,67.204,52.117,92.487,81.225,58.757,59.254
26395,2387,Map2k1,mitogen-activated protein kinase kinase 1,0,1.08125550222528,0.000275334904862358,5.91481132843746,0.00000810434246623812,1084,1249,1027,923,1256,1311,1326,1464,1945,1942,1621,1448,53.158,57.536,46.175,41.977,50.801,53.169,57.087,67.224,80.703,85.681,75.293,72.344
234686,3948,Fhod1,formin homology 2 domain containing 1,0,-1.12733132542763,0.000275686379298928,4.85958510516519,0.00000816326621694635,1796,1682,1638,1579,464,452,473,368,391,408,356,344,88.073,77.482,73.646,71.811,18.767,18.331,20.364,16.898,16.224,18.001,16.536,17.187
71147,3752,Oxsm,"3-oxoacyl-ACP synthase, mitochondrial",0,2.18387496730613,0.000280500578943808,1.54321685552579,0.00000833546149973997,93,129,49,37,115,129,43,40,39,49,67,75,4.561,5.942,2.203,1.683,4.651,5.232,1.851,1.837,1.618,2.162,3.112,3.747
15460,5482,Hr,lysine demethylase and nuclear receptor corepressor,0,-1.44516587200861,0.000280500578943808,6.29234810919404,0.0000083492758514125,3051,3193,949,826,191,214,8142,6864,3025,2552,2327,2675,149.617,147.088,42.668,37.566,7.725,8.679,350.531,315.182,125.515,112.595,108.085,133.647
67900,1396,Mtfp1,mitochondrial fission process 1,0,3.22947464438435,0.000280746842146753,0.380933575031161,0.00000836693558036977,45,50,27,20,115,167,27,18,23,12,9,10,2.207,2.303,1.214,0.910,4.651,6.773,1.162,0.827,0.954,0.529,0.418,0.500
22330,5229,Vcl,vinculin,0,-1.99889796490828,0.000282856376786126,8.70175847569827,0.00000845061915266691,6551,8646,6842,7237,1109,1082,15145,18040,26605,26401,28145,23448,321.252,398.284,307.622,329.130,44.856,43.882,652.025,828.363,1103.907,1164.817,1307.286,1171.499
66859,3563,Slc16a9,"solute carrier family 16 (monocarboxylic acid transporters), member 9",0,4.06067118958368,0.00028467397413068,0.542581023566981,0.00000853634382856264,13,15,13,26,178,211,5,10,51,65,44,58,0.638,0.691,0.584,1.182,7.200,8.557,0.215,0.459,2.116,2.868,2.044,2.898
54141,3822,Spag5,sperm associated antigen 5,0,2.04115258753592,0.00028467397413068,3.49035809130787,0.00000853108070585705,451,572,246,178,576,505,414,385,279,177,58,41,22.116,26.350,11.060,8.095,23.297,20.481,17.824,17.678,11.576,7.809,2.694,2.048
16005,2111,Igfals,"insulin-like growth factor binding protein, acid labile subunit",0,1.36673157492158,0.000287091457683709,3.40526234205772,0.00000861939841310963,541,430,1839,1740,2782,2966,30,24,81,70,24,48,26.530,19.808,82.683,79.133,112.523,120.289,1.292,1.102,3.361,3.088,1.115,2.398
238455,3818,Macc1,metastasis associated in colon cancer 1,0,-2.01845918154295,0.00028927938613714,3.95265964711027,0.00000869573047110061,618,720,880,1050,148,146,383,290,247,225,222,240,30.306,33.167,39.565,47.753,5.986,5.921,16.489,13.316,10.249,9.927,10.312,11.991
11600,4078,Angpt1,angiopoietin 1,0,2.8388209430008,0.000289553340692368,4.03922872318656,0.00000871461910616126,1252,1418,611,996,3328,3593,60,57,72,144,103,125,61.396,65.321,27.471,45.297,134.607,145.718,2.583,2.617,2.987,6.353,4.784,6.245
16828,1930,Ldha,lactate dehydrogenase A,0,1.10048047898754,0.000291975759645143,8.96899375486874,0.00000881975417302559,10205,12060,11225,9226,12904,14321,14855,14773,12972,10548,8172,6814,500.439,555.552,504.685,419.588,521.926,580.802,639.540,678.349,538.240,465.380,379.575,340.438
78076,653,Lcn8,lipocalin 8,0,-3.95875241196618,0.00029295427134153,-4.34357954349838,0.00000887086961676584,0,0,12,12,0,0,0,0,1,3,0,0,0.000,0.000,0.540,0.546,0.000,0.000,0.000,0.000,0.041,0.132,0.000,0.000
17843,875,Mup4,major urinary protein 4,0,2.63672997299482,0.000293230201714316,-5.15800781072502,0.00000892260897378776,0,0,0,0,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.040,0.081,0.000,0.000,0.000,0.000,0.000,0.000
381570,1929,Oog2,oogenesin 2,0,2.63672997299482,0.000293230201714316,-5.15800781072502,0.00000892260897378776,0,0,0,0,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.040,0.081,0.000,0.000,0.000,0.000,0.000,0.000
27205,5330,Podxl,podocalyxin-like,0,-1.49871618043026,0.000293230201714316,5.12705256870901,0.00000893316924903248,12107,13243,1860,1805,417,390,809,1010,209,174,135,146,593.710,610.047,83.627,82.089,16.866,15.817,34.829,46.377,8.672,7.677,6.271,7.294
16622,861,Klk1b5,kallikrein 1-related peptidase b5,0,2.63672997299482,0.000293230201714316,-5.15800781072502,0.00000892260897378776,0,0,0,0,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.040,0.081,0.000,0.000,0.000,0.000,0.000,0.000
18217,1547,Ntsr2,neurotensin receptor 2,0,1.42054157932424,0.000293489236895478,-4.83243359442432,0.00000895185905980174,0,0,1,1,2,2,0,0,0,0,0,0,0.000,0.000,0.045,0.045,0.081,0.081,0.000,0.000,0.000,0.000,0.000,0.000
215798,6505,Adgrg6,adhesion G protein-coupled receptor G6,0,-2.84349847737456,0.000296278334928638,4.39366560368007,0.00000906264919255648,729,604,315,315,30,24,1283,1157,1319,1257,1218,1186,35.749,27.824,14.163,14.326,1.213,0.973,55.236,53.127,54.729,55.459,56.574,59.254
326618,2082,Tpm4,tropomyosin 4,0,-1.61163015355019,0.000296278334928638,7.85033293938682,0.00000906963371208016,6727,7025,4025,4087,895,762,10860,11671,8902,8745,9358,7310,329.882,323.611,180.967,185.872,36.200,30.904,467.546,535.910,369.366,385.831,434.663,365.219
217578,6179,Baz1a,bromodomain adjacent to zinc finger domain 1A,0,-1.85928598345815,0.000296293761786594,6.97148758334822,0.00000908100752670198,3920,4385,5440,5281,903,936,3118,3747,5053,4077,1827,1303,192.231,201.998,244.587,240.174,36.523,37.960,134.237,172.055,209.661,179.878,84.861,65.100
218343,5381,Ttc37,tetratricopeptide repeat domain 37,0,1.05163772187056,0.000298814741698142,5.20412169737214,0.00000918026083807163,716,683,606,477,658,735,1322,1130,990,958,1015,999,35.112,31.463,27.246,21.693,26.614,29.809,56.915,51.887,41.078,42.267,47.145,49.912
107338,6401,Gbf1,golgi-specific brefeldin A-resistance factor 1,0,1.0400672331226,0.000298814741698142,6.36200245368245,0.00000917906120412554,1480,1756,2312,1817,2644,2610,1848,1504,1924,1547,1540,1565,72.577,80.891,103.949,82.635,106.941,105.851,79.560,69.061,79.831,68.254,71.530,78.190
56353,4376,Rybp,RING1 and YY1 binding protein,0,-1.83761261310221,0.000301409549801224,7.50651350485555,0.00000931576269591348,4097,4785,4535,4991,929,738,7952,8838,7509,6883,4802,3862,200.911,220.424,203.897,226.985,37.575,29.930,342.351,405.824,311.567,303.679,223.045,192.952
244871,6133,Zc3h12c,zinc finger CCCH type containing 12C,0,1.90134556111251,0.000301409549801224,4.10673481322436,0.00000934537890736299,791,687,432,576,1217,1097,344,311,217,157,128,125,38.790,31.647,19.423,26.196,49.224,44.490,14.810,14.281,9.004,6.927,5.945,6.245
74039,2759,Nfam1,Nfat activating molecule with ITAM motif 1,0,-2.10454158924379,0.00030297824633242,-2.84869385001408,0.00000942048578534058,2,2,26,28,3,4,5,3,1,1,0,0,0.098,0.092,1.169,1.273,0.121,0.162,0.215,0.138,0.041,0.044,0.000,0.000
20361,3275,Sema7a,"sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A",0,3.74255213624522,0.00030297824633242,3.32104584283303,0.0000094220378273737,99,186,114,99,788,1005,315,472,215,233,116,106,4.855,8.568,5.126,4.502,31.872,40.759,13.561,21.673,8.921,10.280,5.388,5.296
